trial #,role,code,restaurant features code,,,
4,seeker,"CF, RJT",,,,
4,assistant,"ACK, RS, EAI",,,,
4,seeker,ACK,,,,
4,assistant,"EP, EP",,,,
4,seeker,ACK,,,,
4,assistant,ACK,,,,
4,seeker,ACK,,,,
4,assistant,EP,,,,
4,seeker,ACK,,,,
4,assistant,OTH,,,,
4,seeker,OTH,,,,
4,assistant,"RS, EP, EP",,,,
4,seeker,ACK,,,,
4,assistant,"EP, EP",,,,
4,seeker,ACK,,,,
4,assistant,"EP, OTH",,,,
4,seeker,ACK,,,,
4,assistant,PER,,,,
4,seeker,"ACK, RP",,,,
4,assistant,"ACK, OTH",,,,
4,seeker,OTH,,,,
4,assistant,OTH,,,,
4,seeker,ACK,,,,
4,assistant,IP,,,,
4,seeker,OTH,,,,
4,assistant,"ACK, RS, EAI, EP, OTH",,,,
4,seeker,"RP, OTH",,,,
4,assistant,"IP, RS, EAI",,,,
4,seeker,ACK,,,,
4,assistant,EP,,,,
4,seeker,ACK,,,,
4,assistant,"EP, EP, EP, EP, EP, PER",,,,
4,seeker,INQ,,,,
4,assistant,ANS,,,,
4,seeker,ACK,,,,
4,assistant,"RS, PER",,,,
4,seeker,INQ,,,,
4,assistant,ANS,,,,
4,seeker,ACK,,,,
4,assistant,"EP, EAI",,,,
4,seeker,"OTH, INQ",,,,
4,assistant,ACK,,,,
4,seeker,ACK,,,,
4,assistant,"ACK, EP, EP",,,,
4,seeker,ACK,,,,
4,assistant,EP,,,,
4,seeker,ACK,,,,
4,assistant,"EP,EP",,,,
4,seeker,"ACK, ACT",,,,
4,assistant,"ACK, PER",,,,
4,seeker,OTH,,,,
4,assistant,"PER, PER",,,,
4,seeker,OTH,,,,
4,assistant,PER,,,,
4,seeker,ACK,,,,
4,assistant,OTH,,,,
4,seeker,INQ,,,,
4,assistant,ANS,,,,
4,seeker,ACK,,,,
4,assistant,ANS,,,,
4,seeker,ACT,,,,
4,assistant,"ACK, EAI",,,,
4,seeker,"ACK, OTH",,,,
4,assistant,EAI,,,,
4,seeker,ACK,,,,
4,assistant,OTH,,,,
